,0,1,2,3,4
0,1913,2969.0,"""That’s how we won back the House of Representatives, and that’s what Joe Biden can do.""",['Joe Biden'],House of Representatives
0,1936,3008.0,"""in a way that starts to change the toxic and divisive nature of our politics right now,""",['Democrats'],White House
0,1939,3008.0,"""the antithesis of Donald Trump""",['Donald Trump'],Senate
0,1940,3008.0,"""bring back dignity to the White House""",['Pete Buttigieg'],White House
0,1941,3009.0,"""I want you to know how unbelievably and unfailingly decent I have known Vice President Biden to be,""",['Joe Biden'],White House
0,1945,3009.0,"""such extraordinary grace and kindness and empathy.""",['Joe Biden'],White House
0,1949,3009.0,"""Together, we will build a movement that sweeps Donald Trump out of the White House and transforms this country so that it works for the working class.""",['Donald Trump'],White House
0,1950,3010.0,"""I want you to know how unbelievably and unfailingly decent I have known Vice President Biden to be,""",['Joe Biden'],White House
0,1954,3010.0,"""such extraordinary grace and kindness and empathy.""",['Joe Biden'],White House
0,1958,3010.0,"""Together, we will build a movement that sweeps Donald Trump out of the White House and transforms this country so that it works for the working class.""",['Donald Trump'],White House
0,1959,3011.0,"""I want you to know how unbelievably and unfailingly decent I have known Vice President Biden to be,""",['Joe Biden'],White House
0,1963,3011.0,"""such extraordinary grace and kindness and empathy.""",['Joe Biden'],White House
0,1967,3011.0,"""Together, we will build a movement that sweeps Donald Trump out of the White House and transforms this country so that it works for the working class.""",['Donald Trump'],White House
0,1968,3012.0,"""in a way that starts to change the toxic and divisive nature of our politics right now,""",['Democrats'],White House
0,1971,3012.0,"""the antithesis of Donald Trump""",['Donald Trump'],Senate
0,1972,3012.0,"""bring back dignity to the White House""",['Pete Buttigieg'],White House
0,1973,3013.0,"""in a way that starts to change the toxic and divisive nature of our politics right now,""",['Democrats'],White House
0,1976,3013.0,""" Mr. Buttigieg said, calling him capable of restoring """,['Joe Biden'],White House
0,1977,3013.0,""" to the White House and describing him as a person of """,['Joe Biden'],White House
0,1978,3013.0,"""bring back dignity to the White House""",['Pete Buttigieg'],White House
0,1979,3014.0,"""in a way that starts to change the toxic and divisive nature of our politics right now,""",['Democrats'],White House
0,1982,3014.0,""" Mr. Buttigieg said, calling him capable of restoring """,['Joe Biden'],White House
0,1983,3014.0,""" to the White House and describing him as a person of """,['Joe Biden'],White House
0,1984,3014.0,"""bring back dignity to the White House""",['Pete Buttigieg'],White House
0,1986,3016.0,"""in a way that starts to change the toxic and divisive nature of our politics right now,""",['Democrats'],White House
0,1989,3016.0,""" Mr. Buttigieg said, calling him capable of restoring """,['Joe Biden'],White House
0,1990,3016.0,""" to the White House and describing him as a person of """,['Joe Biden'],White House
0,1991,3016.0,"""bring back dignity to the White House""",['Pete Buttigieg'],White House
0,1992,3017.0,"""I want you to know how unbelievably and unfailingly decent I have known Vice President Biden to be,""",['Joe Biden'],White House
0,1996,3017.0,"""such extraordinary grace and kindness and empathy.""",['Joe Biden'],White House
0,2000,3017.0,"""Together, we will build a movement that sweeps Donald Trump out of the White House and transforms this country so that it works for the working class.""",['Donald Trump'],White House
0,2001,3018.0,"""in a way that starts to change the toxic and divisive nature of our politics right now,""",['Democrats'],White House
0,2004,3018.0,"""bring back dignity to the White House""",['Pete Buttigieg'],White House
0,2005,3019.0,"""in a way that starts to change the toxic and divisive nature of our politics right now,""",['Democrats'],White House
0,2008,3019.0,"""bring back dignity to the White House""",['Pete Buttigieg'],White House
0,2010,3023.0,"""in a way that starts to change the toxic and divisive nature of our politics right now,""",['Democrats'],White House
0,2013,3023.0,"""bring back dignity to the White House""",['Pete Buttigieg'],White House
0,2021,3025.0,"""Together, we will build a movement that sweeps Donald Trump out of the White House and transforms this country so that it works for the working class.""",['Donald Trump'],White House
0,2028,3026.0,"""Together, we will build a movement that sweeps Donald Trump out of the White House and transforms this country so that it works for the working class.""",['Donald Trump'],White House
0,2037,3030.0,"""Together, we will build a movement that sweeps Donald Trump out of the White House and transforms this country so that it works for the working class.""",['Donald Trump'],White House
0,2047,3035.0,"""Together, we will build a movement that sweeps Donald Trump out of the White House and transforms this country so that it works for the working class.""",['Donald Trump'],White House
0,2053,3038.0,"""Together, we will build a movement that sweeps Donald Trump out of the White House and transforms this country so that it works for the working class.""",['Donald Trump'],White House
0,2058,3040.0,"""Together, we will build a movement that sweeps Donald Trump out of the White House and transforms this country so that it works for the working class.""",['Donald Trump'],White House
0,2062,3041.0,"""Together, we will build a movement that sweeps Donald Trump out of the White House and transforms this country so that it works for the working class.""",['Donald Trump'],White House
0,2066,3042.0,"""Together, we will build a movement that sweeps Donald Trump out of the White House and transforms this country so that it works for the working class.""",['Donald Trump'],White House
0,2070,3044.0,"""Together, we will build a movement that sweeps Donald Trump out of the White House and transforms this country so that it works for the working class.""",['Donald Trump'],White House
